document,class_name,class_index,dataset_type
komodo dragons world largest lizards,animal,1,train
elephants largest land mammals earth,animal,1,train
red pandas closely related giant pandas adorable,animal,1,train
plate sushi rolls symphony flavors,food,0,train
slice cheesecake creamy indulgent,food,0,train
fresh crisp apple nature perfect snack,food,0,train
bowl pho warms soul chilly day,food,0,train
pufferfish inflate spiky ball threatened,animal,1,train
aroma coffee brewing morning ritual,food,0,train
freshly baked bread fills kitchen comforting aroma,food,0,train
thai cuisine combines sweet sour spicy flavors harmoniously,food,0,train
slice key lime pie taste tropics,food,0,train
jaguars powerful big cats found americas,animal,1,train
bowl creamy macaroni cheese pure comfort,food,0,train
hummingbirds fastest wingbeats bird,animal,1,train
crispy golden french fries irresistible indulgence,food,0,train
sloths slow moving creatures spend lives hanging upside,animal,1,train
alligators around millions years often mistaken crocodiles,animal,1,train
freshly squeezed orange juice breakfast staple,food,0,train
plate sushi work edible art,food,0,train
koalas marsupials primarily eat eucalyptus leaves,animal,1,train
meerkats live tight knit social groups called mobs,animal,1,train
croissant flaky buttery delight,food,0,train
scoop ice cream cure bad day,food,0,train
gorillas largest living primates,animal,1,train
charcuterie board feast eyes palate,food,0,train
well seasoned steak carnivore delight,food,0,train
bald eagles impressive talons catching fish,animal,1,train
nothing beats sizzle hot grill barbecue,food,0,train
hedgehogs curl ball threatened protect,animal,1,train
gooey cheese pizza classic comfort food,food,0,train
bowl ramen slurp worthy delight,food,0,train
salmon undergo incredible journeys spawn natal streams,animal,1,train
smoothie healthy way start day,food,0,train
komodo dragons carnivorous reptiles hunt prey,animal,1,train
chocolate chip cookies straight oven pure bliss,food,0,train
turtles protective shells made bone keratin,animal,1,train
ants incredibly strong relative size capable carrying many times weight,animal,1,train
hot cheesy quesadilla quick satisfying meal,food,0,train
well made omelet perfect breakfast,food,0,train
bowl creamy risotto comforting italian dish,food,0,train
classic pb j sandwich brings back childhood memories,food,0,train
tacos versatile delicious handheld delight,food,0,train
armadillos protective armor like shells,animal,1,train
plate nachos perfect sharing friends,food,0,train
bagel cream cheese new york favorite,food,0,train
peacocks display vibrant feathers attract mates,animal,1,train
thanksgiving feast celebration gratitude,food,0,train
kangaroos use powerful hind legs hop high speeds,animal,1,train
dim sum offers delightful variety bite sized treats,food,0,train
banana split decadent dessert,food,0,train
spicy curry warms body soul,food,0,train
cold fizzy soda complements greasy burger,food,0,train
scoop gelato sweet escape italy,food,0,train
colorful salad bursts vitamins antioxidants,food,0,train
bees communicate complex dances convey information food sources,animal,1,train
steaming bowl chicken soup soothes cold bad day,food,0,train
rhinoceroses large herbivorous mammals known horn,animal,1,train
mediterranean mezze platter offers taste mediterranean,food,0,train
bison roamed north america vast herds,animal,1,train
octopuses masters camouflage change skin color texture,animal,1,train
hippos surprisingly fast runners despite bulky appearance,animal,1,train
cheetahs fastest land animals capable reaching speeds 60 mph,animal,1,train
pot chili simmers spicy goodness,food,0,train
lions known king jungle,animal,1,train
snakes swallow prey whole due flexible jaws,animal,1,train
warm flaky pie comforting dessert,food,0,train
flamingos known pink plumage long slender legs,animal,1,train
chameleons independently move eye different directions,animal,1,train
manatees gentle herbivorous marine mammals,animal,1,train
narwhal long spiral tusk actually tooth,animal,1,train
plate dumplings delicious chinese treat,food,0,train
giraffes incredibly long necks tongues reach high leaves,animal,1,train
plate barbecue ribs finger licking good,food,0,train
squirrels known bushy tails love nuts,animal,1,train
honeybees crucial pollinators many plants crops,animal,1,train
polar bears superb swimmers spend much time water,animal,1,train
ripe mango tropical treasure,food,0,train
hyenas skilled scavengers strong jaws sharp teeth,animal,1,train
group crows called murder,animal,1,train
sushi delicate art form combines flavors textures perfectly,food,0,test
ripe juicy watermelon ultimate summer refreshment,food,0,test
ripe avocado elevate dish,food,0,test
plate spaghetti meatballs timeless italian dish,food,0,test
glass red wine pairs beautifully steak,food,0,test
freshly shucked oysters delicacy,food,0,test
charred juicy burger carnivore dream,food,0,test
plate buttery garlic shrimp seafood lover delight,food,0,test
dolphins highly intelligent marine mammals,animal,1,test
penguins waddle awkwardly land swim gracefully water,animal,1,test
platypuses egg laying mammals found australia,animal,1,test
owls rotate heads 270 degrees,animal,1,test
bald eagles national bird united states,animal,1,test
seahorses unique males carry give birth offspring,animal,1,test
camels well suited desert environments due humps storing fat,animal,1,test
lemurs found island madagascar,animal,1,test
chimpanzees share 98 dna humans,animal,1,test
raccoons known dexterous front paws,animal,1,test
monarch butterflies migrate thousands miles north america mexico,animal,1,test
tasmanian devils known fierce demeanor loud screeches,animal,1,test
